team1,team2,toss_winner,toss_decision,venue,winner
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kolkata Knight Riders
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi Daredevils
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,Royal Challengers Bangalore
Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,Eden Gardens,Kolkata Knight Riders
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Sawai Mansingh Stadium,Rajasthan Royals
Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,Rajasthan Royals
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,Deccan Chargers
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,M Chinnaswamy Stadium,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,Mumbai Indians
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,Delhi Daredevils
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Dr DY Patil Sports Academy,Mumbai Indians
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Sawai Mansingh Stadium,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,"MA Chidambaram Stadium, Chepauk",Deccan Chargers
Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Dr DY Patil Sports Academy,Mumbai Indians
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Feroz Shah Kotla,Delhi Daredevils
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Feroz Shah Kotla,Kings XI Punjab
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,Rajasthan Royals
Mumbai Indians,Deccan Chargers,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens,Chennai Super Kings
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,M Chinnaswamy Stadium,Delhi Daredevils
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,Rajasthan Royals
